aln	tcas	D.Symbol	D.Name	tcas_name	D.Chrom	seqnames	start	end	width	strand	product	Chrom
TcasGA2-TC009573	TcasGA2_TC009573	gnl|WGS:AAJJ|TC009573-PA	Brf	Brf RNA polymerase III subunit, isoform B	TcasGA2-TC009573	chromosome 3R	CM000282.3	2770442	2776324	5883	+	Transcription factor IIIB 90 kDa subunit-like Protein	7
TcasGA2-TC009574	TcasGA2_TC009574	gnl|WGS:AAJJ|TC009574-PA	cdc14	cell division cycle 14, isoform E	TcasGA2-TC009574	chromosome 2L	CM000282.3	2777322	2780249	2928	+	Dual specificity protein phosphatase 23-like Protein	7
TcasGA2-TC009578	TcasGA2_TC009578	gnl|WGS:AAJJ|TC009578-PA	ND-15	NADH dehydrogenase (ubiquinone) 15 kDa subunit, isoform C	TcasGA2-TC009578	chromosome 2L	CM000282.3	2817522	2818083	562	+	hypothetical protein	7
TcasGA2-TC009579	TcasGA2_TC009579	gnl|WGS:AAJJ|TC009579-PA	CG14253	uncharacterized protein Dmel_CG14253, isoform F	TcasGA2-TC009579	chromosome 3R	CM000282.3	2825602	2831298	5697	+	hypothetical protein	7
TcasGA2-TC009580	TcasGA2_TC009580	gnl|WGS:AAJJ|TC009580-PB	Cht6	chitinase 6, isoform K	TcasGA2-TC009580	chromosome X	CM000282.3	2840952	2844800	3849	+	hypothetical protein	7
TcasGA2-TC009581	TcasGA2_TC009581	gnl|WGS:AAJJ|TC009581-PA	Nxf3	short spindle 2, isoform C	TcasGA2-TC009581	chromosome 3L	CM000282.3	2862333	2864971	2639	+	hypothetical protein	7
TcasGA2-TC009582	TcasGA2_TC009582	gnl|WGS:AAJJ|TC009582-PA	enc	encore, isoform G	TcasGA2-TC009582	chromosome 3L	CM000282.3	2862101	2879756	17656	+	encore	7
TcasGA2-TC009584	TcasGA2_TC009584	gnl|WGS:AAJJ|TC009584-PA	CG14995	uncharacterized protein Dmel_CG14995, isoform F	TcasGA2-TC009584	chromosome 3L	CM000282.3	2944770	2952053	7284	+	hypothetical protein	7
TcasGA2-TC009585	TcasGA2_TC009585	gnl|WGS:AAJJ|TC009585-PA	LanA	laminin A	TcasGA2-TC009585	chromosome 3L	CM000282.3	2953900	2954804	905	+	hypothetical protein	7
TcasGA2-TC009586	TcasGA2_TC009586	gnl|WGS:AAJJ|TC009586-PA	Nf-YC	nuclear factor Y-box C	TcasGA2-TC009586	chromosome X	CM000282.3	2956999	2958410	1412	+	Nuclear transcription factor Y subunit gamma-like Protein	7
TcasGA2-TC009589	TcasGA2_TC009589	gnl|WGS:AAJJ|TC009589-PA	betaTub56D	beta-Tubulin at 56D, isoform B	TcasGA2-TC009589	chromosome 2R	CM000282.3	2981839	2985129	3291	+	Tubulin beta-1 chain-like Protein	7
TcasGA2-TC009593	TcasGA2_TC009593	gnl|WGS:AAJJ|TC009593-PA	Fatp3	fatty acid transport protein 3, isoform B	TcasGA2-TC009593	chromosome 2R	CM000282.3	3036637	3039833	3197	+	Long-chain fatty acid transport protein 4-like Protein	7
TcasGA2-TC009594	TcasGA2_TC009594	gnl|WGS:AAJJ|TC009594-PA	kel	kelch, isoform A	TcasGA2-TC009594	chromosome 2L	CM000282.3	3054437	3061897	7461	+	Ring canal kelch protein-like Protein	7
TcasGA2-TC009595	TcasGA2_TC009595	gnl|WGS:AAJJ|TC009595-PA	Pex13	peroxin 13	TcasGA2-TC009595	chromosome 2R	CM000282.3	3064047	3065662	1616	+	Peroxisomal membrane protein PEX13-like Protein	7
TcasGA2-TC009596	TcasGA2_TC009596	gnl|WGS:AAJJ|TC009596-PA	COX5B	cytochrome c oxidase subunit 5B, isoform B	TcasGA2-TC009596	chromosome 2L	CM000282.3	3066957	3068015	1059	+	Cytochrome c oxidase subunit 5B, mitochondrial-like Protein	7
TcasGA2-TC009597	TcasGA2_TC009597	gnl|WGS:AAJJ|TC009597-PA	Aprt	adenine phosphoribosyltransferase, isoform C	TcasGA2-TC009597	chromosome 3L	CM000282.3	3068087	3069137	1051	+	Adenine phosphoribosyltransferase-like Protein	7
TcasGA2-TC009598	TcasGA2_TC009598	gnl|WGS:AAJJ|TC009598-PA	Gale	UDP-galactose 4\\'-epimerase, isoform B	TcasGA2-TC009598	chromosome 3L	CM000282.3	3086343	3089968	3626	+	putative UDP-glucose 4-epimerase-like Protein	7
TcasGA2-TC009599	TcasGA2_TC009599	gnl|WGS:AAJJ|TC009599-PA	pds5	precocious dissociation of sisters 5, isoform B	TcasGA2-TC009599	chromosome 2R	CM000282.3	3095087	3102414	7328	+	Sister chromatid cohesion protein PDS5 homolog B-like Protein	7
TcasGA2-TC009600	TcasGA2_TC009600	gnl|WGS:AAJJ|TC009600-PA	DNApol-epsilon255	DNA polymerase epsilon 255kD subunit	TcasGA2-TC009600	chromosome 3R	CM000282.3	3103957	3114948	10992	+	DNA polymerase epsilon catalytic subunit A-like Protein	7
TcasGA2-TC009602	TcasGA2_TC009602	gnl|WGS:AAJJ|TC009602-PA	CG10472	uncharacterized protein Dmel_CG10472	TcasGA2-TC009602	chromosome 3L	CM000282.3	3177266	3178319	1054	+	serine protease P96	7
TcasGA2-TC009605	TcasGA2_TC009605	gnl|WGS:AAJJ|TC009605-PA	CG46244	Leukocyte-antigen-related-like, isoform I	TcasGA2-TC009605	chromosome 2L	CM000282.3	3194026	3200292	6267	+	Tyrosine-protein phosphatase Lar-like Protein	7
TcasGA2-TC009606	TcasGA2_TC009606	gnl|WGS:AAJJ|TC009606-PA	Oda	ornithine decarboxylase antizyme, isoform A	TcasGA2-TC009606	chromosome 2R	CM000282.3	3200986	3204611	3626	+	Ornithine decarboxylase antizyme 1-like Protein	7
TcasGA2-TC009607	TcasGA2_TC009607	gnl|WGS:AAJJ|TC009607-PA	CG1646	uncharacterized protein Dmel_CG1646, isoform B	TcasGA2-TC009607	chromosome 3R	CM000282.3	3213816	3217943	4128	+	Pre-mRNA-processing factor 39-like Protein	7
TcasGA2-TC009608	TcasGA2_TC009608	gnl|WGS:AAJJ|TC009608-PA	Rox8	Rox8, isoform B	TcasGA2-TC009608	chromosome 3R	CM000282.3	3224156	3228409	4254	+	Polyadenylate-binding protein-like Protein	7
TcasGA2-TC009609	TcasGA2_TC009609	gnl|WGS:AAJJ|TC009609-PA	CG45073	uncharacterized protein Dmel_CG45073	TcasGA2-TC009609	chromosome 3R	CM000282.3	3235579	3235794	216	+	hypothetical protein	7
TcasGA2-TC009610	TcasGA2_TC009610	gnl|WGS:AAJJ|TC009610-PA	CG13365	uncharacterized protein Dmel_CG13365	TcasGA2-TC009610	chromosome X	CM000282.3	3245609	3246001	393	+	hypothetical protein	7
TcasGA2-TC009611	TcasGA2_TC009611	gnl|WGS:AAJJ|TC009611-PA	CG5646	uncharacterized protein Dmel_CG5646	TcasGA2-TC009611	chromosome 3R	CM000282.3	3247566	3251396	3831	+	Congested-like trachea protein	7
TcasGA2-TC009612	TcasGA2_TC009612	gnl|WGS:AAJJ|TC009612-PA	CG2126	uncharacterized protein Dmel_CG2126, isoform A	TcasGA2-TC009612	chromosome 3R	CM000282.3	3258326	3259744	1419	+	JNK1/MAPK8-associated membrane protein-like Protein	7
TcasGA2-TC009613	TcasGA2_TC009613	gnl|WGS:AAJJ|TC009613-PA	Wdr92	WD repeat domain 92	TcasGA2-TC009613	chromosome 3L	CM000282.3	3262076	3263362	1287	+	WD repeat-containing protein 92-like Protein	7
TcasGA2-TC009614	TcasGA2_TC009614	gnl|WGS:AAJJ|TC009614-PA	elm	ethanol sensitive with low memory, isoform B	TcasGA2-TC009614	chromosome 3R	CM000282.3	3263426	3264205	780	+	Calcineurin subunit B type 2-like Protein	7
TcasGA2-TC009615	TcasGA2_TC009615	gnl|WGS:AAJJ|TC009615-PA	CG15602	uncharacterized protein Dmel_CG15602, isoform B	TcasGA2-TC009615	chromosome X	CM000282.3	3267976	3269558	1583	+	Zinc finger FYVE domain-containing protein 19-like Protein	7
TcasGA2-TC009616	TcasGA2_TC009616	gnl|WGS:AAJJ|TC009616-PA	CG30274	uncharacterized protein Dmel_CG42284, isoform E	TcasGA2-TC009616	chromosome 2R	CM000282.3	3274023	3276218	2196	+	hypothetical protein	7
TcasGA2-TC009617	TcasGA2_TC009617	gnl|WGS:AAJJ|TC009617-PA	CG17141	uncharacterized protein Dmel_CG17141	TcasGA2-TC009617	chromosome 3R	CM000282.3	3279166	3280230	1065	+	Mitochondrial ribosome-associated GTPase 1-like Protein	7
TcasGA2-TC009618	TcasGA2_TC009618	gnl|WGS:AAJJ|TC009618-PA	SdhD	succinate dehydrogenase, subunit D	TcasGA2-TC009618	chromosome 3R	CM000282.3	3280356	3281183	828	+	Putative succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial-like Protein	7
TcasGA2-TC009619	TcasGA2_TC009619	gnl|WGS:AAJJ|TC009619-PA	Gnpnat	Glucosamine-phosphate N-acetyltransferase, isoform A	TcasGA2-TC009619	chromosome 3R	CM000282.3	3292526	3293766	1241	+	putative glucosamine 6-phosphate N-acetyltransferase-like Protein	7
TcasGA2-TC009620	TcasGA2_TC009620	gnl|WGS:AAJJ|TC009620-PA	CG14480	uncharacterized protein Dmel_CG14480, isoform B	TcasGA2-TC009620	chromosome 2R	CM000282.3	3297466	3298753	1288	+	Protein FAM192A-like Protein	7
TcasGA2-TC009621	TcasGA2_TC009621	gnl|WGS:AAJJ|TC009621-PA	l(3)L1231	lethal (3) L1231, isoform C	TcasGA2-TC009621	chromosome 3R	CM000282.3	3333746	3337380	3635	+	hypothetical protein	7
TcasGA2-TC009623	TcasGA2_TC009623	gnl|WGS:AAJJ|TC009623-PA	achi	achintya, isoform A	TcasGA2-TC009623	chromosome 2R	CM000282.3	3345946	3350633	4688	+	Homeobox protein TGIF1-like Protein	7
TcasGA2-TC009624	TcasGA2_TC009624	gnl|WGS:AAJJ|TC009624-PA	Cht8	chitinase 8	TcasGA2-TC009624	chromosome 2R	CM000282.3	3367696	3370675	2980	+	putative chitinase 2-like Protein	7
TcasGA2-TC009625	TcasGA2_TC009625	gnl|WGS:AAJJ|TC009625-PA	Cht4	chitinase 4	TcasGA2-TC009625	chromosome 2R	CM000282.3	3370906	3372302	1397	+	putative chitinase 2-like Protein	7
TcasGA2-TC009626	TcasGA2_TC009626	gnl|WGS:AAJJ|TC009626-PA	Cht4	chitinase 4	TcasGA2-TC009626	chromosome 2R	CM000282.3	3376946	3379327	2382	+	putative chitinase 2-like Protein	7
TcasGA2-TC009627	TcasGA2_TC009627	gnl|WGS:AAJJ|TC009627-PA	Cht8	chitinase 8	TcasGA2-TC009627	chromosome 2R	CM000282.3	3380896	3384464	3569	+	putative chitinase 2-like Protein	7
TcasGA2-TC009629	TcasGA2_TC009629	gnl|WGS:AAJJ|TC009629-PA	Cht8	chitinase 8	TcasGA2-TC009629	chromosome 2R	CM000282.3	3397256	3400125	2870	+	putative chitinase 2-like Protein	7
TcasGA2-TC009630	TcasGA2_TC009630	gnl|WGS:AAJJ|TC009630-PA	Cht4	chitinase 4	TcasGA2-TC009630	chromosome 2R	CM000282.3	3406372	3407793	1422	+	putative chitinase 3-like Protein	7
TcasGA2-TC009631	TcasGA2_TC009631	gnl|WGS:AAJJ|TC009631-PA	Vha44	vacuolar 	TcasGA2-TC009631	chromosome 2R	CM000282.3	3414312	3419339	5028	+	V-type proton ATPase subunit C-like Protein	7
TcasGA2-TC009632	TcasGA2_TC009632	gnl|WGS:AAJJ|TC009632-PA	CG8060	uncharacterized protein Dmel_CG8060	TcasGA2-TC009632	chromosome 2R	CM000282.3	3453346	3457465	4120	+	Inhibitor of Bruton tyrosine kinase-like Protein	7
TcasGA2-TC009633	TcasGA2_TC009633	gnl|WGS:AAJJ|TC009633-PA	CG8679	uncharacterized protein Dmel_CG8679	TcasGA2-TC009633	chromosome 2L	CM000282.3	3458536	3465755	7220	+	hypothetical protein	7
TcasGA2-TC009636	TcasGA2_TC009636	gnl|WGS:AAJJ|TC009636-PA	CG7997	uncharacterized protein Dmel_CG7997, isoform A	TcasGA2-TC009636	chromosome 2R	CM000282.3	3471155	3473452	2298	+	Alpha-N-acetylgalactosaminidase-like Protein	7
TcasGA2-TC009637	TcasGA2_TC009637	gnl|WGS:AAJJ|TC009637-PA	CG5645	uncharacterized protein Dmel_CG5645	TcasGA2-TC009637	chromosome 3L	CM000282.3	3475635	3478105	2471	+	Protein KRI1 homolog-like Protein	7
TcasGA2-TC009638	TcasGA2_TC009638	gnl|WGS:AAJJ|TC009638-PA	eIF3j	eukaryotic translation initiation factor 3 subunit j, isoform B	TcasGA2-TC009638	chromosome 2R	CM000282.3	3479925	3481591	1667	+	Eukaryotic translation initiation factor 3 subunit J-like Protein	7
TcasGA2-TC009639	TcasGA2_TC009639	gnl|WGS:AAJJ|TC009639-PA	CG15012	uncharacterized protein Dmel_CG15012	TcasGA2-TC009639	chromosome 3L	CM000282.3	3481745	3482719	975	+	Transmembrane protein 50B-like Protein	7
TcasGA2-TC009641	TcasGA2_TC009641	gnl|WGS:AAJJ|TC009641-PA	CG7737	uncharacterized protein Dmel_CG7737, isoform A	TcasGA2-TC009641	chromosome 2R	CM000282.3	3568788	3570618	1831	+	Protein anon-37Cs-like Protein	7
TcasGA2-TC009643	TcasGA2_TC009643	gnl|WGS:AAJJ|TC009643-PA	CG7737	uncharacterized protein Dmel_CG7737, isoform A	TcasGA2-TC009643	chromosome 2R	CM000282.3	3572268	3573950	1683	+	Protein anon-37Cs-like Protein	7
TcasGA2-TC009644	TcasGA2_TC009644	gnl|WGS:AAJJ|TC009644-PA	CG7737	uncharacterized protein Dmel_CG7737, isoform A	TcasGA2-TC009644	chromosome 2R	CM000282.3	3574128	3575739	1612	+	Protein anon-37Cs-like Protein	7
TcasGA2-TC009645	TcasGA2_TC009645	gnl|WGS:AAJJ|TC009645-PA	CG6665	uncharacterized protein Dmel_CG6665	TcasGA2-TC009645	chromosome 2R	CM000282.3	3584878	3587064	2187	+	Uncharacterized protein C1orf43 homolog-like Protein	7
TcasGA2-TC009647	TcasGA2_TC009647	gnl|WGS:AAJJ|TC009647-PA	Su(var)2-10	suppressor of variegation 2-10, isoform I	TcasGA2-TC009647	chromosome 2R	CM000282.3	3594127	3597918	3792	+	E3 SUMO-protein ligase PIAS1-like Protein	7
TcasGA2-TC009648	TcasGA2_TC009648	gnl|WGS:AAJJ|TC009648-PA	CG6178	uncharacterized protein Dmel_CG6178	TcasGA2-TC009648	chromosome 3R	CM000282.3	3598708	3600717	2010	+	Luciferin 4-monooxygenase-like Protein	7
TcasGA2-TC009649	TcasGA2_TC009649	gnl|WGS:AAJJ|TC009649-PA	CG6178	uncharacterized protein Dmel_CG6178	TcasGA2-TC009649	chromosome 3R	CM000282.3	3601328	3605816	4489	+	Luciferin 4-monooxygenase-like Protein	7
TcasGA2-TC009650	TcasGA2_TC009650	gnl|WGS:AAJJ|TC009650-PA	CG2004	uncharacterized protein Dmel_CG2004, isoform G	TcasGA2-TC009650	chromosome X	CM000282.3	3607378	3608695	1318	+	hypothetical protein	7
TcasGA2-TC009651	TcasGA2_TC009651	gnl|WGS:AAJJ|TC009651-PA	CG1561	uncharacterized protein Dmel_CG1561	TcasGA2-TC009651	chromosome X	CM000282.3	3610168	3611758	1591	+	hypothetical protein	7
TcasGA2-TC009652	TcasGA2_TC009652	gnl|WGS:AAJJ|TC009652-PA	CG14314	uncharacterized protein Dmel_CG14314	TcasGA2-TC009652	chromosome 3R	CM000282.3	3613098	3614442	1345	+	hypothetical protein	7
TcasGA2-TC009653	TcasGA2_TC009653	gnl|WGS:AAJJ|TC009653-PA	CG1561	uncharacterized protein Dmel_CG1561	TcasGA2-TC009653	chromosome X	CM000282.3	3615178	3620675	5498	+	hypothetical protein	7
TcasGA2-TC009654	TcasGA2_TC009654	gnl|WGS:AAJJ|TC009654-PA	CG1561	uncharacterized protein Dmel_CG1561	TcasGA2-TC009654	chromosome X	CM000282.3	3623098	3624418	1321	+	hypothetical protein	7
TcasGA2-TC009655	TcasGA2_TC009655	gnl|WGS:AAJJ|TC009655-PA	CG1561	uncharacterized protein Dmel_CG1561	TcasGA2-TC009655	chromosome X	CM000282.3	3626278	3627707	1430	+	hypothetical protein	7
TcasGA2-TC009656	TcasGA2_TC009656	gnl|WGS:AAJJ|TC009656-PA	CG1561	uncharacterized protein Dmel_CG1561	TcasGA2-TC009656	chromosome X	CM000282.3	3629108	3630413	1306	+	hypothetical protein	7
TcasGA2-TC009657	TcasGA2_TC009657	gnl|WGS:AAJJ|TC009657-PA	CG1561	uncharacterized protein Dmel_CG1561	TcasGA2-TC009657	chromosome X	CM000282.3	3635629	3637070	1442	+	hypothetical protein	7
TcasGA2-TC009658	TcasGA2_TC009658	gnl|WGS:AAJJ|TC009658-PA	CG1561	uncharacterized protein Dmel_CG1561	TcasGA2-TC009658	chromosome X	CM000282.3	3638379	3639906	1528	+	hypothetical protein	7
TcasGA2-TC009659	TcasGA2_TC009659	gnl|WGS:AAJJ|TC009659-PA	CG1561	uncharacterized protein Dmel_CG1561	TcasGA2-TC009659	chromosome X	CM000282.3	3655362	3656729	1368	+	hypothetical protein	7
TcasGA2-TC009660	TcasGA2_TC009660	gnl|WGS:AAJJ|TC009660-PA	Bdp1	B double prime 1, isoform A	TcasGA2-TC009660	chromosome 2L	CM000282.3	3657472	3659929	2458	+	hypothetical protein	7
TcasGA2-TC009661	TcasGA2_TC009661	gnl|WGS:AAJJ|TC009661-PA	Secp43	tRNA selenocysteine associated protein	TcasGA2-TC009661	chromosome 2L	CM000282.3	3660202	3661374	1173	+	Polyadenylate-binding protein-like Protein	7
TcasGA2-TC009662	TcasGA2_TC009662	gnl|WGS:AAJJ|TC009662-PA	Cyt-c-d	cytochrome c distal, isoform B	TcasGA2-TC009662	chromosome 2L	CM000282.3	3716105	3716440	336	+	hypothetical protein	7
TcasGA2-TC009663	TcasGA2_TC009663	gnl|WGS:AAJJ|TC009663-PA	dila	dilatory, isoform D	TcasGA2-TC009663	chromosome 2R	CM000282.3	3777992	3778899	908	+	hypothetical protein	7
TcasGA2-TC009664	TcasGA2_TC009664	gnl|WGS:AAJJ|TC009664-PA	CG5846	uncharacterized protein Dmel_CG5846, isoform B	TcasGA2-TC009664	chromosome 2L	CM000282.3	3788327	3789377	1051	+	Ankyrin repeat and KH domain-containing protein mask-like Protein	7
TcasGA2-TC009665	TcasGA2_TC009665	gnl|WGS:AAJJ|TC009665-PA	CG13077	uncharacterized protein Dmel_CG13077, isoform B	TcasGA2-TC009665	chromosome 2L	CM000282.3	3790657	3791792	1136	+	hypothetical protein	7
TcasGA2-TC009668	TcasGA2_TC009668	gnl|WGS:AAJJ|TC009668-PA	salr	spalt-related, isoform C	TcasGA2-TC009668	chromosome 2L	CM000282.3	3803207	3804932	1726	+	hypothetical protein	7
TcasGA2-TC009670	TcasGA2_TC009670	gnl|WGS:AAJJ|TC009670-PA	Mau2	Mau2 sister chromatid cohesion factor	TcasGA2-TC009670	chromosome 3R	CM000282.3	3812527	3814860	2334	+	MAU2 chromatid cohesion factor homolog-like Protein	7
TcasGA2-TC009671	TcasGA2_TC009671	gnl|WGS:AAJJ|TC009671-PA	CG2767	uncharacterized protein Dmel_CG2767	TcasGA2-TC009671	chromosome 3R	CM000282.3	3815097	3816694	1598	+	Alcohol dehydrogenase [NADP(+)]-like Protein	7
TcasGA2-TC009673	TcasGA2_TC009673	gnl|WGS:AAJJ|TC009673-PA	Lrr47	Leucine-rich repeat 47, isoform B	TcasGA2-TC009673	chromosome 2L	CM000282.3	3837406	3838863	1458	+	Leucine-rich repeat protein 1-like Protein	7
TcasGA2-TC009674	TcasGA2_TC009674	gnl|WGS:AAJJ|TC009674-PA	fw	furrowed, isoform B	TcasGA2-TC009674	chromosome X	CM000282.3	3839706	3841263	1558	+	Kaptin-like Protein	7
TcasGA2-TC009675	TcasGA2_TC009675	gnl|WGS:AAJJ|TC009675-PA	Rpt2	regulatory particle triple-A ATPase 2, isoform B	TcasGA2-TC009675	chromosome 3R	CM000282.3	3841696	3844032	2337	+	26S protease regulatory subunit 4-like Protein	7
TcasGA2-TC009679	TcasGA2_TC009679	gnl|WGS:AAJJ|TC009679-PA	SIDL	shal interactor of Di-Leucine motif	TcasGA2-TC009679	chromosome 3R	CM000282.3	4348165	4349284	1120	+	Trafficking protein particle complex subunit 10-like Protein	7
TcasGA2-TC009680	TcasGA2_TC009680	gnl|WGS:AAJJ|TC009680-PA	naz	nazgul, isoform B	TcasGA2-TC009680	chromosome 3R	CM000282.3	4369765	4371211	1447	+	WW domain-containing oxidoreductase-like Protein	7
TcasGA2-TC009681	TcasGA2_TC009681	gnl|WGS:AAJJ|TC009681-PA	CG1213	uncharacterized protein Dmel_CG1213, isoform D	TcasGA2-TC009681	chromosome 3R	CM000282.3	4381095	4382662	1568	+	Facilitated trehalose transporter Tret1-2 homolog-like Protein	7
TcasGA2-TC009682	TcasGA2_TC009682	gnl|WGS:AAJJ|TC009682-PA	CG10960	uncharacterized protein Dmel_CG10960, isoform A	TcasGA2-TC009682	chromosome 3L	CM000282.3	4384835	4386504	1670	+	Facilitated trehalose transporter Tret1-2 homolog-like Protein	7
TcasGA2-TC009683	TcasGA2_TC009683	gnl|WGS:AAJJ|TC009683-PA	CG10960	uncharacterized protein Dmel_CG10960, isoform A	TcasGA2-TC009683	chromosome 3L	CM000282.3	4388965	4390490	1526	+	Facilitated trehalose transporter Tret1-2 homolog-like Protein	7
TcasGA2-TC009686	TcasGA2_TC009686	gnl|WGS:AAJJ|TC009686-PA	kl-5	male fertility factor kl5	TcasGA2-TC009686	chromosome Y	CM000282.3	4480305	4480442	138	+	hypothetical protein	7
TcasGA2-TC009687	TcasGA2_TC009687	gnl|WGS:AAJJ|TC009687-PA	Ca-alpha1D	C	TcasGA2-TC009687	chromosome 2L	CM000282.3	4508951	4515167	6217	+	hypothetical protein	7
TcasGA2-TC009688	TcasGA2_TC009688	gnl|WGS:AAJJ|TC009688-PA	CG9018	uncharacterized protein Dmel_CG9018, isoform A	TcasGA2-TC009688	chromosome 3L	CM000282.3	4532930	4533073	144	+	hypothetical protein	7
TcasGA2-TC009690	TcasGA2_TC009690	gnl|WGS:AAJJ|TC009690-PA	CG10175	uncharacterized protein Dmel_CG10175, isoform E	TcasGA2-TC009690	chromosome 3R	CM000282.3	4611949	4616282	4334	+	Esterase-6-like Protein	7
TcasGA2-TC009691	TcasGA2_TC009691	gnl|WGS:AAJJ|TC009691-PA	CG10175	uncharacterized protein Dmel_CG10175, isoform E	TcasGA2-TC009691	chromosome 3R	CM000282.3	4616399	4619585	3187	+	Esterase-6-like Protein	7
TcasGA2-TC009692	TcasGA2_TC009692	gnl|WGS:AAJJ|TC009692-PA	alpha-Est10	alpha-Esterase-10, isoform B	TcasGA2-TC009692	chromosome 3R	CM000282.3	4619819	4621906	2088	+	Esterase P-like Protein	7
TcasGA2-TC009693	TcasGA2_TC009693	gnl|WGS:AAJJ|TC009693-PA	CG10175	uncharacterized protein Dmel_CG10175, isoform E	TcasGA2-TC009693	chromosome 3R	CM000282.3	4622879	4624883	2005	+	Esterase P-like Protein	7
TcasGA2-TC009694	TcasGA2_TC009694	gnl|WGS:AAJJ|TC009694-PA	alpha-Est7	alpha-Esterase-7	TcasGA2-TC009694	chromosome 3R	CM000282.3	4625139	4627208	2070	+	Esterase-6-like Protein	7
TcasGA2-TC009697	TcasGA2_TC009697	gnl|WGS:AAJJ|TC009697-PA	CG10175	uncharacterized protein Dmel_CG10175, isoform E	TcasGA2-TC009697	chromosome 3R	CM000282.3	4631749	4633573	1825	+	Acetylcholinesterase-like Protein	7
TcasGA2-TC009698	TcasGA2_TC009698	gnl|WGS:AAJJ|TC009698-PA	CG10175	uncharacterized protein Dmel_CG10175, isoform E	TcasGA2-TC009698	chromosome 3R	CM000282.3	4634209	4636693	2485	+	Esterase-6-like Protein	7
TcasGA2-TC009701	TcasGA2_TC009701	gnl|WGS:AAJJ|TC009701-PA	CG3987	uncharacterized protein Dmel_CG3987	TcasGA2-TC009701	chromosome 3R	CM000282.3	4641999	4645055	3057	+	hypothetical protein	7
TcasGA2-TC009702	TcasGA2_TC009702	gnl|WGS:AAJJ|TC009702-PA	CG3984	uncharacterized protein Dmel_CG3984	TcasGA2-TC009702	chromosome 3R	CM000282.3	4646159	4647346	1188	+	hypothetical protein	7
TcasGA2-TC009703	TcasGA2_TC009703	gnl|WGS:AAJJ|TC009703-PA	CG3984	uncharacterized protein Dmel_CG3984	TcasGA2-TC009703	chromosome 3R	CM000282.3	4649379	4650631	1253	+	hypothetical protein	7
TcasGA2-TC009705	TcasGA2_TC009705	gnl|WGS:AAJJ|TC009705-PA	Sirt2	sirtuin 2, isoform D	TcasGA2-TC009705	chromosome 3R	CM000282.3	4691039	4692983	1945	+	NAD-dependent protein deacetylase Sirt2-like Protein	7
TcasGA2-TC009706	TcasGA2_TC009706	gnl|WGS:AAJJ|TC009706-PA	Hsp68	heat shock protein 68	TcasGA2-TC009706	chromosome 3R	CM000282.3	4700749	4703053	2305	+	heat shock protein 68a	7
TcasGA2-TC009707	TcasGA2_TC009707	gnl|WGS:AAJJ|TC009707-PA	MetRS	Methionyl-tRNA synthetase	TcasGA2-TC009707	chromosome 2R	CM000282.3	4706069	4710123	4055	+	Methionine--tRNA ligase, cytoplasmic-like Protein	7
TcasGA2-TC009710	TcasGA2_TC009710	gnl|WGS:AAJJ|TC009710-PA	Prp38	pre-mRNA processing factor 38	TcasGA2-TC009710	chromosome 2R	CM000282.3	4731359	4732503	1145	+	Pre-mRNA-splicing factor 38A-like Protein	7
TcasGA2-TC009711	TcasGA2_TC009711	gnl|WGS:AAJJ|TC009711-PA	CG14688	uncharacterized protein Dmel_CG14688	TcasGA2-TC009711	chromosome 3R	CM000282.3	4734665	4736759	2095	+	Phytanoyl-CoA dioxygenase, peroxisomal-like Protein	7
TcasGA2-TC009712	TcasGA2_TC009712	gnl|WGS:AAJJ|TC009712-PA	CG10907	uncharacterized protein Dmel_CG10907	TcasGA2-TC009712	chromosome 3L	CM000282.3	4822626	4824259	1634	+	Peptidyl-prolyl cis-trans isomerase CWC27 homolog-like Protein	7
TcasGA2-TC009713	TcasGA2_TC009713	gnl|WGS:AAJJ|TC009713-PA	CG6479	uncharacterized protein Dmel_CG6479, isoform A	TcasGA2-TC009713	chromosome 3L	CM000282.3	4824526	4826609	2084	+	Transmembrane protein 209-like Protein	7
TcasGA2-TC009714	TcasGA2_TC009714	gnl|WGS:AAJJ|TC009714-PA	ry	rosy	TcasGA2-TC009714	chromosome 3R	CM000282.3	4828476	4829561	1086	+	Xanthine dehydrogenase-like Protein	7
TcasGA2-TC009715	TcasGA2_TC009715	gnl|WGS:AAJJ|TC009715-PA	ry	rosy	TcasGA2-TC009715	chromosome 3R	CM000282.3	4835077	4836028	952	+	Xanthine dehydrogenase-like Protein	7
TcasGA2-TC009716	TcasGA2_TC009716	gnl|WGS:AAJJ|TC009716-PA	CG7201	uncharacterized protein Dmel_CG7201, isoform B	TcasGA2-TC009716	chromosome 3L	CM000282.3	4847448	4850825	3378	+	hypothetical protein	7
TcasGA2-TC009718	TcasGA2_TC009718	gnl|WGS:AAJJ|TC009718-PA	red	red malpighian tubules, isoform D	TcasGA2-TC009718	chromosome 3R	CM000282.3	4862284	4863886	1603	+	hypothetical protein	7
TcasGA2-TC009719	TcasGA2_TC009719	gnl|WGS:AAJJ|TC009719-PA	Dhc98D	dynein heavy chain at 89D, isoform C	TcasGA2-TC009719	chromosome 3R	CM000282.3	4869728	4887003	17276	+	Dynein heavy chain, cytoplasmic-like Protein	7
